event_id,plate,zone,zone_id,speed,limit,time,camera,status
50,ML56VE5235,Main Gate,1,56,20,2026-03-23 22:17:58,CAM-11,VIOLATION
51,WB89CN6765,Academic Block A,2,68,20,2026-03-23 17:16:58,CAM-7,VIOLATION
52,AS40IU3799,Sports Complex,5,65,25,2026-03-23 22:18:58,CAM-8,VIOLATION
53,WB53AS7612,Hospital Road,6,58,20,2026-03-24 04:45:58,CAM-7,VIOLATION
54,ML72BR1484,Sports Complex,5,62,25,2026-03-23 22:58:58,CAM-11,VIOLATION
55,ML97PM4717,Hospital Road,6,11,20,2026-03-24 05:28:58,CAM-11,NORMAL
56,KA04TV4558,GH-4 Gate,8,25,20,2026-03-24 08:30:58,CAM-7,VIOLATION
57,ML88RX4292,Library Junction,7,50,20,2026-03-23 17:56:58,CAM-7,VIOLATION
58,ML96SL5034,Hospital Road,6,47,20,2026-03-24 11:33:58,CAM-6,VIOLATION
59,AS87CO8533,Academic Block A,2,51,20,2026-03-23 15:06:58,CAM-2,VIOLATION
60,DL01NF5747,Academic Block A,2,32,20,2026-03-24 07:49:58,CAM-6,VIOLATION
61,ML88RX4292,Sports Complex,5,68,25,2026-03-23 14:44:58,CAM-11,VIOLATION
62,DL83RN3192,Sports Complex,5,40,25,2026-03-23 23:29:58,CAM-8,VIOLATION
63,DL15VL1668,Main Gate,1,60,20,2026-03-23 17:25:58,CAM-12,VIOLATION
64,WB91KK4291,Main Gate,1,39,20,2026-03-24 08:34:58,CAM-12,VIOLATION
65,KA32PF6209,Main Gate,1,12,20,2026-03-24 09:57:58,CAM-7,NORMAL
66,DL63EZ3326,Residential Zone,4,15,15,2026-03-24 01:08:58,CAM-2,NORMAL
67,DL49NC5997,Hospital Road,6,61,20,2026-03-23 17:59:58,CAM-6,VIOLATION
68,KA97LD1716,Academic Block A,2,35,20,2026-03-23 14:50:58,CAM-5,VIOLATION
69,ML32GF1928,Main Gate,1,60,20,2026-03-24 01:18:58,CAM-5,VIOLATION
70,AS85BJ2738,Academic Block A,2,22,20,2026-03-23 19:39:58,CAM-2,VIOLATION
71,KA14YZ5213,Hospital Road,6,21,20,2026-03-24 12:01:58,CAM-11,VIOLATION
72,WB66YQ5291,Main Gate,1,37,20,2026-03-23 13:05:58,CAM-9,VIOLATION
73,ML96SL5034,Library Junction,7,13,20,2026-03-24 01:47:58,CAM-8,NORMAL
74,ML28CR1695,GH-4 Gate,8,25,20,2026-03-23 18:59:58,CAM-2,VIOLATION
75,DL52IZ2550,Residential Zone,4,14,15,2026-03-24 01:01:58,CAM-9,NORMAL
76,ML45SH3466,Library Junction,7,57,20,2026-03-24 09:35:58,CAM-7,VIOLATION
77,AS05UA4808,Main Gate,1,33,20,2026-03-24 01:15:58,CAM-6,VIOLATION
78,KA72NF7276,Main Gate,1,48,20,2026-03-23 15:38:58,CAM-4,VIOLATION
79,DL39UK9366,Residential Zone,4,62,15,2026-03-23 21:54:58,CAM-2,VIOLATION
80,ML46MM6488,Academic Block B,3,38,20,2026-03-23 17:33:58,CAM-4,VIOLATION
81,DL74BJ4274,Library Junction,7,30,20,2026-03-24 11:41:58,CAM-3,VIOLATION
82,DL49NC5997,Academic Block A,2,24,20,2026-03-24 10:11:58,CAM-10,VIOLATION
83,ML28CR1695,GH-4 Gate,8,12,20,2026-03-24 01:41:58,CAM-2,NORMAL
84,WB66YQ5291,Library Junction,7,28,20,2026-03-23 14:16:58,CAM-5,VIOLATION
85,AS62CG5474,Main Gate,1,35,20,2026-03-23 13:14:58,CAM-2,VIOLATION
86,KA67DY2024,Main Gate,1,19,20,2026-03-23 23:03:58,CAM-5,NORMAL
87,WB43LM1595,Hospital Road,6,55,20,2026-03-24 08:25:58,CAM-2,VIOLATION
88,ML73GV9095,Academic Block A,2,16,20,2026-03-24 09:13:58,CAM-11,NORMAL
89,DL39UK9366,Sports Complex,5,61,25,2026-03-24 00:16:58,CAM-3,VIOLATION
90,DL86SZ9423,Main Gate,1,17,20,2026-03-24 05:31:58,CAM-5,NORMAL
91,AS84QL6148,Academic Block B,3,52,20,2026-03-24 07:54:58,CAM-12,VIOLATION
92,KA91KA4712,Sports Complex,5,46,25,2026-03-23 15:23:58,CAM-11,VIOLATION
93,WB53AS7612,Library Junction,7,29,20,2026-03-23 14:49:58,CAM-3,VIOLATION
94,KA91LX9133,GH-4 Gate,8,66,20,2026-03-24 09:36:58,CAM-4,VIOLATION
95,WB58WC3808,Residential Zone,4,63,15,2026-03-24 11:45:58,CAM-7,VIOLATION
96,KA54JI4942,Main Gate,1,68,20,2026-03-24 02:34:58,CAM-11,VIOLATION
97,DL05AZ5766,Residential Zone,4,60,15,2026-03-23 19:50:58,CAM-3,VIOLATION
98,DL21FZ5173,Academic Block A,2,51,20,2026-03-24 06:09:58,CAM-5,VIOLATION
99,WB36BB8849,GH-4 Gate,8,39,20,2026-03-24 10:07:58,CAM-12,VIOLATION
100,AS39TF1535,Hospital Road,6,30,20,2026-03-23 23:58:58,CAM-1,VIOLATION
101,DL98TW1231,GH-4 Gate,8,40,20,2026-03-23 20:33:58,CAM-5,VIOLATION
102,WB59SZ3341,Library Junction,7,40,20,2026-03-24 11:55:58,CAM-12,VIOLATION
103,KA17GN7428,Main Gate,1,39,20,2026-03-23 18:35:58,CAM-4,VIOLATION
104,AS39TF1535,GH-4 Gate,8,48,20,2026-03-23 16:17:58,CAM-1,VIOLATION
105,KA26GV1325,Hospital Road,6,62,20,2026-03-24 10:56:58,CAM-1,VIOLATION
106,AS62CG5474,Academic Block A,2,27,20,2026-03-24 06:10:58,CAM-12,VIOLATION
107,WB48UU1369,GH-4 Gate,8,54,20,2026-03-24 11:58:58,CAM-4,VIOLATION
108,AS83FS6022,Academic Block A,2,63,20,2026-03-24 05:27:58,CAM-12,VIOLATION
109,AS27RC7448,Hospital Road,6,26,20,2026-03-23 23:45:58,CAM-5,VIOLATION
110,DL74BJ4274,GH-4 Gate,8,47,20,2026-03-24 12:15:58,CAM-11,VIOLATION
111,AS78YT6554,Academic Block B,3,24,20,2026-03-24 00:45:58,CAM-7,VIOLATION
112,ML46MM6488,Sports Complex,5,42,25,2026-03-24 10:50:58,CAM-2,VIOLATION
113,DL59QR2695,Main Gate,1,40,20,2026-03-23 23:21:58,CAM-10,VIOLATION
114,WB59SZ3341,Main Gate,1,61,20,2026-03-23 23:40:58,CAM-4,VIOLATION
115,KA82OH1461,Hospital Road,6,59,20,2026-03-24 00:34:58,CAM-7,VIOLATION
116,DL83WU9535,Academic Block A,2,10,20,2026-03-23 14:13:58,CAM-11,NORMAL
117,AS17HA8384,GH-4 Gate,8,62,20,2026-03-24 00:52:58,CAM-8,VIOLATION
118,AS87CO8533,Academic Block A,2,12,20,2026-03-24 02:56:58,CAM-4,NORMAL
119,AS62CG5474,Library Junction,7,17,20,2026-03-24 03:31:58,CAM-11,NORMAL
120,DL99TM2873,Hospital Road,6,27,20,2026-03-23 13:11:58,CAM-9,VIOLATION
121,KA32PF6209,Academic Block B,3,54,20,2026-03-24 09:25:58,CAM-1,VIOLATION
122,KA26GV1325,Residential Zone,4,61,15,2026-03-24 09:30:58,CAM-10,VIOLATION
123,ML56BF3812,Residential Zone,4,31,15,2026-03-24 10:44:58,CAM-10,VIOLATION
124,AS78YT6554,Hospital Road,6,16,20,2026-03-24 08:18:58,CAM-12,NORMAL
125,AS56EJ1700,GH-4 Gate,8,52,20,2026-03-24 05:47:58,CAM-3,VIOLATION
126,DL63EZ3326,Academic Block B,3,38,20,2026-03-23 15:13:58,CAM-8,VIOLATION
127,KA91KA4712,Academic Block A,2,34,20,2026-03-24 00:48:58,CAM-6,VIOLATION
128,ML56BF3812,Library Junction,7,25,20,2026-03-23 14:16:58,CAM-8,VIOLATION
129,KA82OH1461,Sports Complex,5,54,25,2026-03-23 20:03:58,CAM-12,VIOLATION
130,ML28TE1153,Academic Block B,3,31,20,2026-03-23 23:10:58,CAM-4,VIOLATION
131,AS40IU3799,GH-4 Gate,8,13,20,2026-03-24 05:07:58,CAM-6,NORMAL
132,ML53WF1442,Library Junction,7,44,20,2026-03-24 10:34:58,CAM-10,VIOLATION
133,KA11BF5605,Residential Zone,4,61,15,2026-03-24 00:32:58,CAM-11,VIOLATION
134,KA48KJ3409,Main Gate,1,54,20,2026-03-23 22:40:58,CAM-5,VIOLATION
135,WB43LM1595,Main Gate,1,17,20,2026-03-23 20:25:58,CAM-1,NORMAL
136,DL59QR2695,GH-4 Gate,8,28,20,2026-03-23 18:07:58,CAM-6,VIOLATION
137,ML66DO3392,Residential Zone,4,59,15,2026-03-24 05:08:58,CAM-8,VIOLATION
138,KA16IA3366,Academic Block B,3,31,20,2026-03-23 22:01:58,CAM-6,VIOLATION
139,AS86JG9373,Academic Block A,2,33,20,2026-03-24 04:51:58,CAM-5,VIOLATION
140,KA11BF5605,Library Junction,7,57,20,2026-03-24 06:27:58,CAM-11,VIOLATION
141,DL74BJ4274,Hospital Road,6,46,20,2026-03-24 06:29:58,CAM-12,VIOLATION
142,AS78YT6554,Hospital Road,6,23,20,2026-03-23 13:01:58,CAM-5,VIOLATION
143,KA85SP8923,Hospital Road,6,42,20,2026-03-24 05:14:58,CAM-8,VIOLATION
144,AS62CG5474,Academic Block B,3,57,20,2026-03-23 20:18:58,CAM-9,VIOLATION
145,AS84QL6148,Sports Complex,5,48,25,2026-03-23 22:54:58,CAM-11,VIOLATION
146,WB89CN6765,Hospital Road,6,38,20,2026-03-23 21:13:58,CAM-7,VIOLATION
147,DL80AM5081,Academic Block A,2,63,20,2026-03-24 02:00:58,CAM-12,VIOLATION
148,DL83WU9535,Academic Block A,2,28,20,2026-03-23 20:03:58,CAM-12,VIOLATION
149,KA92JX4694,GH-4 Gate,8,31,20,2026-03-23 22:46:58,CAM-12,VIOLATION
150,AS34EA9219,Academic Block A,2,19,20,2026-03-23 20:26:58,CAM-1,NORMAL
151,DL98KR3808,Sports Complex,5,38,25,2026-03-23 23:43:58,CAM-2,VIOLATION
152,KA82OH1461,Academic Block A,2,16,20,2026-03-24 06:25:58,CAM-8,NORMAL
153,ML28CR1695,Main Gate,1,19,20,2026-03-23 21:16:58,CAM-2,NORMAL
154,AS86JG9373,Academic Block A,2,21,20,2026-03-23 23:40:58,CAM-4,VIOLATION
155,KA72NF7276,Hospital Road,6,67,20,2026-03-23 18:18:58,CAM-4,VIOLATION
156,ML56VE5235,Residential Zone,4,23,15,2026-03-24 00:05:58,CAM-6,VIOLATION
157,KA55JD5796,GH-4 Gate,8,24,20,2026-03-24 12:24:58,CAM-4,VIOLATION
158,WB58WC3808,Main Gate,1,59,20,2026-03-24 07:11:58,CAM-5,VIOLATION
159,DL01NF5747,Residential Zone,4,45,15,2026-03-24 03:50:58,CAM-11,VIOLATION
160,ML88RX4292,Hospital Road,6,18,20,2026-03-24 00:34:58,CAM-7,NORMAL
161,ML46MM6488,Academic Block B,3,10,20,2026-03-23 17:32:58,CAM-11,NORMAL
162,DL68JU6845,Academic Block A,2,34,20,2026-03-23 20:38:58,CAM-10,VIOLATION
163,WB83EK6884,Residential Zone,4,21,15,2026-03-23 22:42:58,CAM-6,VIOLATION
164,WB57OF5240,Hospital Road,6,25,20,2026-03-23 20:26:58,CAM-11,VIOLATION
165,KA91KA4712,Main Gate,1,54,20,2026-03-23 19:19:58,CAM-3,VIOLATION
166,KA97LD1716,GH-4 Gate,8,23,20,2026-03-24 06:19:58,CAM-10,VIOLATION
167,KA30QN3381,Sports Complex,5,51,25,2026-03-24 03:54:58,CAM-9,VIOLATION
168,ML53WF1442,Academic Block A,2,51,20,2026-03-23 17:56:58,CAM-3,VIOLATION
169,WB48UU1369,Academic Block A,2,24,20,2026-03-23 14:04:58,CAM-4,VIOLATION
170,DL72HP6499,Library Junction,7,31,20,2026-03-24 10:07:58,CAM-12,VIOLATION
171,ML37VL7728,Main Gate,1,11,20,2026-03-23 20:21:58,CAM-8,NORMAL
172,AS83FS6022,Residential Zone,4,50,15,2026-03-23 21:44:58,CAM-12,VIOLATION
173,ML56BF3812,Academic Block B,3,35,20,2026-03-24 09:15:58,CAM-1,VIOLATION
174,WB19EG7034,Hospital Road,6,36,20,2026-03-23 16:15:58,CAM-5,VIOLATION
175,WB59SZ3341,Academic Block A,2,40,20,2026-03-23 16:14:58,CAM-10,VIOLATION
176,KA57ND7683,Academic Block B,3,11,20,2026-03-24 03:52:58,CAM-6,NORMAL
177,KA54JI4942,Sports Complex,5,11,25,2026-03-24 07:39:58,CAM-6,NORMAL
178,WB34HA6278,Hospital Road,6,35,20,2026-03-24 01:51:58,CAM-10,VIOLATION
179,KA91KA4712,Hospital Road,6,48,20,2026-03-23 17:48:58,CAM-4,VIOLATION
180,AS39DD6131,GH-4 Gate,8,62,20,2026-03-24 08:54:58,CAM-3,VIOLATION
181,AS85BJ2738,Sports Complex,5,56,25,2026-03-23 14:35:58,CAM-8,VIOLATION
182,ML28TE1153,Sports Complex,5,46,25,2026-03-23 16:04:58,CAM-4,VIOLATION
183,KA72NF7276,Sports Complex,5,22,25,2026-03-24 06:43:58,CAM-3,NORMAL
184,ML94LG3675,Hospital Road,6,50,20,2026-03-24 12:08:58,CAM-10,VIOLATION
185,WB48OH1391,Residential Zone,4,54,15,2026-03-24 09:25:58,CAM-2,VIOLATION
186,KA16QU5840,Academic Block B,3,31,20,2026-03-24 10:42:58,CAM-1,VIOLATION
187,WB03IY1586,Academic Block B,3,33,20,2026-03-23 18:38:58,CAM-3,VIOLATION
188,DL01NF5747,Residential Zone,4,50,15,2026-03-24 10:44:58,CAM-8,VIOLATION
189,AS35MP2924,Academic Block B,3,10,20,2026-03-24 09:30:58,CAM-6,NORMAL
190,DL32VH5131,Residential Zone,4,54,15,2026-03-24 09:59:58,CAM-8,VIOLATION
191,DL59QR2695,Main Gate,1,47,20,2026-03-24 09:28:58,CAM-9,VIOLATION
192,ML32GF1928,Sports Complex,5,26,25,2026-03-24 10:41:58,CAM-7,VIOLATION
193,KA32HP4802,Academic Block A,2,40,20,2026-03-23 16:20:58,CAM-2,VIOLATION
194,DL12UZ8203,Sports Complex,5,48,25,2026-03-23 21:35:58,CAM-3,VIOLATION
195,ML56VE5235,Hospital Road,6,44,20,2026-03-23 23:26:58,CAM-10,VIOLATION
196,DL09RM3079,GH-4 Gate,8,40,20,2026-03-23 13:51:58,CAM-11,VIOLATION
197,WB58WC3808,Hospital Road,6,48,20,2026-03-24 05:43:58,CAM-9,VIOLATION
198,DL08NI4952,Academic Block A,2,15,20,2026-03-24 05:37:58,CAM-8,NORMAL
199,AS62CG5474,Sports Complex,5,19,25,2026-03-23 20:10:58,CAM-3,NORMAL
200,ML56BF3812,Residential Zone,4,12,15,2026-03-23 14:36:58,CAM-12,NORMAL
201,WB69AZ2580,GH-4 Gate,8,52,20,2026-03-23 19:22:58,CAM-5,VIOLATION
202,AS87CO8533,Residential Zone,4,29,15,2026-03-24 02:17:58,CAM-1,VIOLATION
203,KA91LX9133,Academic Block B,3,60,20,2026-03-24 07:46:58,CAM-9,VIOLATION
204,DL05AZ5766,Academic Block B,3,24,20,2026-03-23 23:17:58,CAM-1,VIOLATION
205,WB43LM1595,Sports Complex,5,65,25,2026-03-24 09:22:58,CAM-7,VIOLATION
206,ML66ZK5727,Academic Block B,3,24,20,2026-03-24 09:24:58,CAM-10,VIOLATION
207,WB66YQ5291,Residential Zone,4,44,15,2026-03-24 06:55:58,CAM-10,VIOLATION
208,WB48UU1369,Hospital Road,6,47,20,2026-03-23 21:29:58,CAM-11,VIOLATION
209,KA54JI4942,Main Gate,1,20,20,2026-03-23 13:39:58,CAM-12,NORMAL
210,DL40VN4049,GH-4 Gate,8,40,20,2026-03-24 05:43:58,CAM-9,VIOLATION
211,ML94LG3675,Academic Block B,3,69,20,2026-03-23 21:16:58,CAM-7,VIOLATION
212,KA85SP8923,Hospital Road,6,32,20,2026-03-24 08:48:58,CAM-12,VIOLATION
213,AS27RC7448,Main Gate,1,51,20,2026-03-23 15:19:58,CAM-9,VIOLATION
214,WB58WC3808,Hospital Road,6,36,20,2026-03-23 18:06:58,CAM-2,VIOLATION
215,DL15VL1668,Main Gate,1,20,20,2026-03-23 19:40:58,CAM-5,NORMAL
216,WB59SZ3341,Academic Block A,2,48,20,2026-03-23 12:31:58,CAM-10,VIOLATION
217,AS87CO8533,Academic Block A,2,51,20,2026-03-23 19:34:58,CAM-11,VIOLATION
218,ML67AP9551,Main Gate,1,21,20,2026-03-23 13:07:58,CAM-3,VIOLATION
219,WB03IY1586,Main Gate,1,30,20,2026-03-24 03:47:58,CAM-11,VIOLATION
220,ML96SL5034,Main Gate,1,17,20,2026-03-23 17:18:58,CAM-5,NORMAL
221,DL39UK9366,Residential Zone,4,11,15,2026-03-23 18:49:58,CAM-8,NORMAL
222,KA82OH1461,Residential Zone,4,64,15,2026-03-24 01:01:58,CAM-1,VIOLATION
223,AS39TF1535,Academic Block A,2,19,20,2026-03-23 23:36:58,CAM-11,NORMAL
224,AS83FS6022,Residential Zone,4,11,15,2026-03-24 10:35:58,CAM-6,NORMAL
225,ML07XQ7196,Main Gate,1,50,20,2026-03-23 23:37:58,CAM-2,VIOLATION
226,DL40VN4049,GH-4 Gate,8,70,20,2026-03-24 04:40:58,CAM-8,VIOLATION
227,DL74BJ4274,Residential Zone,4,65,15,2026-03-23 13:54:58,CAM-8,VIOLATION
228,ML96SL5034,Main Gate,1,59,20,2026-03-23 19:25:58,CAM-9,VIOLATION
229,ML56VE5235,Residential Zone,4,24,15,2026-03-23 15:34:58,CAM-4,VIOLATION
230,DL52IZ2550,GH-4 Gate,8,66,20,2026-03-24 01:14:58,CAM-9,VIOLATION
231,WB66YQ5291,Sports Complex,5,35,25,2026-03-23 15:36:58,CAM-3,VIOLATION
232,AS17HA8384,Sports Complex,5,66,25,2026-03-24 02:22:58,CAM-8,VIOLATION
233,DL40VN4049,Library Junction,7,56,20,2026-03-24 03:01:58,CAM-2,VIOLATION
234,AS83FS6022,Sports Complex,5,70,25,2026-03-24 02:01:58,CAM-10,VIOLATION
235,ML66ZK5727,Sports Complex,5,63,25,2026-03-23 13:39:58,CAM-8,VIOLATION
236,AS38TM4623,Residential Zone,4,43,15,2026-03-24 01:33:58,CAM-11,VIOLATION
237,KA14YZ5213,Hospital Road,6,33,20,2026-03-23 23:04:58,CAM-6,VIOLATION
238,DL63EZ3326,Academic Block A,2,29,20,2026-03-24 04:29:58,CAM-3,VIOLATION
239,KA13RM5187,GH-4 Gate,8,11,20,2026-03-24 03:47:58,CAM-6,NORMAL
240,DL98TW1231,Main Gate,1,46,20,2026-03-24 11:13:58,CAM-4,VIOLATION
241,ML88RX4292,Library Junction,7,44,20,2026-03-24 09:25:58,CAM-10,VIOLATION
242,KA30QN3381,Library Junction,7,53,20,2026-03-24 01:18:58,CAM-9,VIOLATION
243,ML96SL5034,Main Gate,1,36,20,2026-03-23 14:22:58,CAM-1,VIOLATION
244,KA82OH1461,Sports Complex,5,64,25,2026-03-23 17:03:58,CAM-2,VIOLATION
245,WB59SZ3341,Main Gate,1,28,20,2026-03-23 20:10:58,CAM-3,VIOLATION
246,ML32GF1928,Hospital Road,6,21,20,2026-03-24 05:49:58,CAM-1,VIOLATION
247,ML97PM4717,Library Junction,7,60,20,2026-03-24 04:43:58,CAM-10,VIOLATION
248,KA85SP8923,Main Gate,1,39,20,2026-03-23 17:40:58,CAM-3,VIOLATION
249,WB58WC3808,Residential Zone,4,32,15,2026-03-24 00:53:58,CAM-3,VIOLATION
250,WB83EK6884,Library Junction,7,30,20,2026-03-24 05:03:58,CAM-8,VIOLATION
251,DL83WU9535,GH-4 Gate,8,14,20,2026-03-24 10:36:58,CAM-12,NORMAL
252,WB35LG7640,GH-4 Gate,8,33,20,2026-03-24 05:10:58,CAM-5,VIOLATION
253,KA67DY2024,Main Gate,1,30,20,2026-03-23 13:43:58,CAM-7,VIOLATION
254,ML46MM6488,Academic Block B,3,15,20,2026-03-23 18:15:58,CAM-1,NORMAL
255,DL98KR3808,Library Junction,7,52,20,2026-03-23 15:48:58,CAM-1,VIOLATION
256,KA16IA3366,Residential Zone,4,33,15,2026-03-24 00:33:58,CAM-2,VIOLATION
257,DL98KR3808,Academic Block B,3,66,20,2026-03-23 23:30:58,CAM-7,VIOLATION
258,KA91KA4712,Academic Block A,2,36,20,2026-03-24 07:15:58,CAM-8,VIOLATION
259,AS27RC7448,Main Gate,1,48,20,2026-03-24 09:15:58,CAM-1,VIOLATION
260,KA32HP4802,Academic Block B,3,29,20,2026-03-24 01:06:58,CAM-7,VIOLATION
261,WB55CZ1211,Academic Block B,3,54,20,2026-03-23 16:58:58,CAM-12,VIOLATION
262,WB59SZ3341,Residential Zone,4,64,15,2026-03-23 17:38:58,CAM-12,VIOLATION
263,WB34HA6278,Hospital Road,6,14,20,2026-03-23 18:30:58,CAM-3,NORMAL
264,WB36BB8849,Library Junction,7,22,20,2026-03-24 11:44:58,CAM-8,VIOLATION
265,ML53WF1442,Sports Complex,5,16,25,2026-03-24 07:59:58,CAM-6,NORMAL
266,KA16IA3366,Hospital Road,6,25,20,2026-03-23 16:45:58,CAM-5,VIOLATION
267,DL98KR3808,Academic Block A,2,62,20,2026-03-23 15:26:58,CAM-11,VIOLATION
268,DL09RM3079,Main Gate,1,16,20,2026-03-23 13:24:58,CAM-2,NORMAL
269,DL21FZ5173,Academic Block B,3,46,20,2026-03-23 19:51:58,CAM-9,VIOLATION
270,DL08NI4952,Academic Block B,3,38,20,2026-03-24 11:15:58,CAM-1,VIOLATION
271,ML32GF1928,Library Junction,7,43,20,2026-03-23 15:57:58,CAM-10,VIOLATION
272,WB66YQ5291,Main Gate,1,42,20,2026-03-24 06:57:58,CAM-12,VIOLATION
273,AS84QL6148,Residential Zone,4,67,15,2026-03-23 21:01:58,CAM-12,VIOLATION
274,AS05UA4808,Main Gate,1,41,20,2026-03-23 20:21:58,CAM-9,VIOLATION
275,KA13RM5187,Main Gate,1,67,20,2026-03-24 02:08:58,CAM-4,VIOLATION
276,DL01NF5747,Academic Block B,3,64,20,2026-03-23 13:20:58,CAM-3,VIOLATION
277,WB48UU1369,Hospital Road,6,59,20,2026-03-23 21:05:58,CAM-1,VIOLATION
278,DL72HP6499,Hospital Road,6,22,20,2026-03-24 10:10:58,CAM-8,VIOLATION
279,AS86JG9373,Residential Zone,4,16,15,2026-03-23 19:29:58,CAM-7,VIOLATION
280,KA98NI8813,Academic Block A,2,59,20,2026-03-23 23:44:58,CAM-10,VIOLATION
281,DL31BI3386,GH-4 Gate,8,22,20,2026-03-23 16:18:58,CAM-8,VIOLATION
282,ML28TE1153,Residential Zone,4,24,15,2026-03-24 02:39:58,CAM-8,VIOLATION
283,AS87CO8533,Academic Block A,2,42,20,2026-03-24 01:10:58,CAM-11,VIOLATION
