violation_id,event_id,plate,fine,status
124,185,AS67IO3923,100,ignored
125,186,AS10NT2332,500,pending
126,187,AS46DK6475,500,paid
127,188,AS72VU8618,100,paid
128,191,AS71DV7863,200,pending
129,195,AS07EX9695,500,pending
130,196,AS46IP7218,100,paid
131,197,AS47KW7466,500,paid
132,198,AS79HQ3978,200,ignored
133,199,AS54AT1052,500,paid
134,200,AS15IB4032,100,pending
135,201,AS43AD3212,500,pending
136,203,AS96RQ5336,200,pending
137,206,AS50RN6735,500,paid
138,207,AS15IB4032,500,pending
139,208,AS44SD9543,500,paid
140,209,AS16XZ5673,500,pending
141,210,AS03KL7726,100,paid
142,211,AS15IB4032,200,paid
143,212,AS45YM9835,100,pending
144,213,AS36KY3546,100,pending
145,214,AS29YR5139,200,pending
146,215,AS58WU1853,100,pending
147,216,AS86AB9450,200,pending
148,217,AS80KD3611,500,pending
149,218,AS32HE2712,200,pending
150,219,AS78ON6701,500,ignored
151,221,AS55GQ9769,200,ignored
152,222,AS77WQ3588,200,pending
153,223,AS71IA5761,500,ignored
154,225,AS88RH7934,100,paid
155,226,AS44SD9543,100,pending
156,227,AS63SH7730,500,ignored
157,228,AS66VK1213,100,pending
158,229,AS11CS5626,500,paid
159,230,AS70FR3450,200,pending
160,231,AS32DR5134,100,pending
161,234,AS57YJ7868,500,paid
162,236,AS04RY2179,500,ignored
163,237,AS65IC3953,500,paid
164,239,AS53RY5275,100,paid
165,240,AS71EO4773,200,paid
166,241,AS36DE1089,500,ignored
167,242,AS28CT8091,100,paid
168,243,AS51XY9781,500,ignored
169,246,AS32OQ5324,100,pending
170,248,AS39QL3589,100,paid
171,249,AS27TE3980,500,paid
172,252,AS10QB8289,200,paid
173,254,AS39QL3589,100,pending
174,255,AS15QB9439,500,pending
175,256,AS32NR7509,200,ignored
176,257,AS19KW5791,200,paid
177,258,AS99TO2528,100,paid
178,259,AS09VY7826,200,pending
179,260,AS29YR5139,500,paid
180,262,AS67IO3923,500,paid
181,263,AS05KY1998,200,pending
182,264,AS46VA7830,500,paid
183,265,AS30FG2621,500,paid
184,268,AS47MX6308,200,paid
185,269,AS10IK8532,500,paid
186,271,AS44MQ6366,100,paid
187,272,AS32OQ5324,200,ignored
188,273,AS15ZU2764,100,ignored
189,274,AS47KW7466,500,pending
190,275,AS71DO8439,100,ignored
191,276,AS15ZU2764,500,pending
192,277,AS39JS8035,200,ignored
193,278,AS35QU8302,100,paid
194,279,AS22TL1510,200,paid
195,280,AS77WQ3588,500,paid
196,281,AS58WU1853,500,pending
197,282,AS55JO6770,100,ignored
198,285,AS55VJ8200,100,ignored
199,286,AS66ZJ2958,500,ignored
200,287,AS03KL7726,100,ignored
201,291,AS60BR7415,200,pending
202,292,AS47WJ6706,100,ignored
203,293,AS71DV7863,100,ignored
204,294,AS86VV2403,100,pending
205,295,AS86YJ3189,200,paid
206,296,AS15IB4032,200,pending
207,297,AS46BN2169,100,ignored
208,298,AS13UX7383,100,ignored
209,300,AS67MA3086,100,pending
210,301,AS03BB8756,200,pending
211,302,AS87JH1908,100,pending
212,303,AS71CE7365,100,ignored
213,304,AS27YJ6621,200,paid
214,305,AS49IT2112,200,paid
215,306,AS29YR5139,100,pending
216,307,AS91BY5899,500,paid
217,308,AS91BY5899,100,ignored
218,310,AS12ZA3975,200,ignored
219,311,AS89DQ1840,500,pending
220,312,AS50RN6735,100,pending
221,313,AS35QU8302,200,pending
222,315,AS95XC1278,500,ignored
223,316,AS05UG3234,500,paid
224,317,AS05KY1998,200,paid
225,318,AS43PX7693,200,paid
226,321,AS86FO4948,500,paid
227,322,AS04AT5951,500,pending
228,323,AS66ZJ2958,500,ignored
229,325,AS91BY5899,100,ignored
230,326,AS03KL7726,200,paid
231,329,AS22YJ5298,100,ignored
232,330,AS47MX6308,500,ignored
233,332,AS60NA6230,200,pending
234,333,AS27CO4740,500,pending
235,334,AS80KD3611,200,paid
236,335,AS47KW7466,100,ignored
237,336,AS13UX7383,200,pending
238,337,AS05NY8940,500,ignored
239,338,AS65HU7352,100,paid
240,339,AS41PD6464,100,paid
241,341,AS66VK1213,200,paid
242,342,AS04RY2179,100,paid
243,344,AS01JT3322,100,ignored
244,345,AS05NY8940,100,ignored
245,346,AS79HQ3978,500,pending
246,347,AS34AJ7102,100,paid
247,348,AS91BY5899,100,paid
248,350,AS67YO2200,500,pending
249,351,AS67YO2200,100,ignored
250,352,AS74EI2865,500,paid
251,353,AS63PP9981,200,ignored
252,354,AS01JT3322,200,paid
253,355,AS65HU7352,100,paid
254,356,AS43PX7693,200,ignored
255,357,AS80KD3611,200,ignored
256,358,AS46GC4393,200,ignored
257,359,AS78TX7379,200,paid
258,363,AS71CE7365,100,pending
259,364,AS60NX8624,500,pending
260,365,AS27TE3980,500,ignored
261,366,AS96LZ8419,200,pending
262,367,AS21BQ3981,200,ignored
263,368,AS46GK7354,500,ignored
264,369,AS71DV7863,500,pending
265,371,AS36DE1089,500,ignored
266,372,AS79HQ3978,500,paid
267,373,AS13ZD9161,100,ignored
268,374,AS63PP9981,100,pending
269,375,AS52LQ1038,100,ignored
270,376,AS15IB4032,500,pending
271,377,AS72VU8618,200,pending
272,378,AS59DG4675,500,pending
273,379,AS93XK1234,200,pending
274,380,AS13FU9723,500,pending
275,381,AS53RY5275,200,pending
276,385,AS66ZJ2958,500,ignored
277,386,AS43PX7693,500,ignored
278,387,AS39JS8035,500,paid
279,388,AS64NC8585,200,ignored
280,389,AS95XC1278,200,pending
281,392,AS67XC1700,100,ignored
282,393,AS33RT9977,100,paid
283,394,AS07EX9695,100,paid
284,397,AS95XC1278,500,paid
285,398,AS44SD9543,100,ignored
286,400,AS10NT2332,200,pending
287,401,AS67YO2200,500,ignored
288,402,AS70BF6519,500,ignored
289,403,AS05KY1998,200,pending
290,404,AS32NR7509,500,pending
291,405,AS92MO3602,500,ignored
292,408,AS46VA7830,200,ignored
293,409,AS53TY8674,500,paid
294,410,AS13MN2878,500,ignored
295,411,AS54AT1052,200,ignored
296,413,AS97XM8945,200,ignored
297,414,AS86XB1217,200,paid
298,415,AS86FO4948,200,paid
299,416,AS78TX7379,200,pending
300,417,AS46GC4393,200,pending
301,418,AS63PP9981,100,paid
302,419,AS72VU8618,200,ignored
303,420,AS07EX9695,200,pending
304,422,AS59DG4675,100,ignored
305,423,AS18QM8509,200,pending
306,424,AS39JS8035,100,paid
307,425,AS87JH1908,100,pending
308,428,AS06YI2547,500,paid
309,429,AS86IT3774,500,pending
310,430,AS52LQ1038,500,paid
311,433,AS13FU9723,100,paid
312,434,AS20TB4343,200,pending
313,435,AS57TS3838,500,pending
314,439,AS27CO4740,200,ignored
315,440,AS87LK4163,200,paid
316,443,AS59DG4675,500,ignored
317,444,AS67YO2200,200,ignored
318,446,AS13FU9723,200,pending
319,447,AS07EX9695,100,ignored
320,449,AS59DF5837,500,ignored
321,450,AS99LQ4850,500,paid
322,451,AS51BP2227,200,ignored
323,452,AS19KW5791,500,ignored
324,453,AS20TB4343,500,ignored
325,455,AS44SD9543,200,pending
326,456,AS86VV2403,200,pending
327,457,AS26CR3866,100,ignored
328,461,AS52LQ1038,500,ignored
329,464,AS05KY1998,200,paid
330,466,AS60OC9630,200,pending
331,467,AS55QD5437,200,pending
332,468,AS47AK7855,500,pending
333,471,AS71CE7365,500,paid
334,474,AS85CC4251,100,pending
335,476,AS67MA3086,500,pending
336,477,AS05KY1998,500,paid
337,478,AS32HE2712,200,ignored
338,479,AS52JK7979,500,pending
339,480,AS81QS3731,200,ignored
340,481,AS86YJ3189,100,pending
341,482,AS62KU5033,200,paid
342,483,AS66ZJ2958,200,paid
343,484,AS95HB4546,100,paid
344,485,AS52LQ1038,100,ignored
345,486,AS46DK6475,500,paid
346,487,AS71IA5761,100,pending
347,489,AS86FO4948,200,paid
348,490,AS92HA2362,500,ignored
349,491,AS33RT9977,200,ignored
350,493,AS22YJ5298,100,paid
351,494,AS28KI6909,100,paid
352,497,AS43PX7693,500,ignored
353,503,AS88RH7934,500,pending
354,504,AS13UX7383,200,pending
355,505,AS48TO6405,200,paid
356,506,AS27CO4740,500,pending
357,507,AS71IA5761,200,paid
358,508,AS67YO2200,200,paid
359,509,AS88RH7934,200,ignored
360,510,AS44MQ6366,100,paid
361,512,AS50UG6894,500,ignored
362,514,AS54AT1052,100,ignored
363,515,AS55QD5437,500,paid
364,517,AS09HH1803,500,paid
365,520,AS43AD3212,200,paid
366,521,AS81QS3731,200,ignored
367,522,AS31HY7861,200,paid
368,523,AS71CE7365,200,ignored
369,528,AS06YI2547,200,paid
370,529,AS15IB4032,500,ignored
371,530,AS92MO3602,500,paid
372,531,AS67MA3086,100,pending
373,532,AS24TJ9407,200,paid
374,533,AS53TY8674,200,paid
375,535,AS13UX7383,500,pending
376,537,AS59DF5837,500,paid
377,538,AS19KW5791,200,paid
378,539,AS05NY8940,500,pending
379,540,AS32HE2712,200,pending
380,543,AS27YJ6621,200,pending
381,544,AS39JS8035,100,pending
382,545,AS10NT2332,100,paid
383,548,AS24TJ9407,200,paid
384,550,AS93XK1234,100,paid
385,553,AS50UG6894,100,ignored
386,554,AS13UX7383,200,ignored
387,556,AS26TQ6722,500,pending
388,561,AS47KW7466,200,paid
389,563,AS73SS9211,100,ignored
390,565,AS60OC9630,200,paid
391,566,AS28CT8091,500,pending
392,570,AS01JT3322,100,paid
393,571,AS58WU1853,500,paid
394,572,AS53TY8674,500,paid
395,574,AS96RQ5336,200,paid
396,575,AS05KY1998,500,ignored
397,579,AS38FR3181,100,paid
398,580,AS73SS9211,500,ignored
399,582,AS88JN9068,500,paid
400,583,AS69NQ6617,200,ignored
401,584,AS17XR5788,500,pending
402,585,AS95XC1278,500,paid
403,587,AS09HH1803,500,paid
404,588,AS20TY3444,500,paid
405,589,AS65TU9366,100,ignored
406,592,AS27CO4740,500,paid
407,594,AS51XY9781,100,paid
408,595,AS14JQ4149,200,paid
409,596,AS27CO4740,500,ignored
410,597,AS46IP7218,200,paid
411,598,AS27YJ6621,500,pending
412,599,AS50RN6735,500,pending
413,602,AS47MX6308,200,pending
414,603,AS43AD3212,100,pending
415,604,AS01JT3322,200,pending
416,606,AS13FU9723,100,ignored
417,607,AS64NC8585,100,paid
418,608,AS60BR7415,500,ignored
419,609,AS96LZ8419,200,pending
420,610,AS13ZD9161,500,paid
421,611,AS88QZ1502,100,ignored
422,613,AS34AU2679,200,ignored
423,614,AS66PN1032,200,ignored
424,615,AS22TB5639,100,paid
425,616,AS77WQ3588,100,pending
426,617,AS63PP9981,200,paid
427,619,AS22TL1510,100,ignored
428,620,AS27TE3980,200,pending
429,621,AS97HP1760,200,pending
430,622,AS59DG4675,100,pending
431,623,AS62MS1215,500,ignored
432,624,AS35IK7095,200,paid
433,627,AS58WU1853,200,paid
434,629,AS46BN2169,500,paid
435,632,AS83JM8041,500,ignored
436,634,AS96LZ8419,100,pending
437,636,AS36KY3546,200,ignored
438,638,AS44MQ6366,100,pending
439,640,AS21BQ3981,100,pending
440,641,AS36KY3546,200,ignored
441,642,AS99TO2528,200,ignored
442,644,AS15QB9439,100,paid
443,645,AS27YJ6621,500,ignored
444,647,AS89DQ1840,500,paid
445,648,AS86IT3774,100,ignored
446,649,AS86YJ3189,100,ignored
447,650,AS09FT9895,500,pending
448,651,AS06YI2547,500,pending
449,652,AS44SD9543,200,paid
450,653,AS66VK1213,500,paid
451,654,AS12DS8128,100,pending
452,655,AS05NY8940,500,ignored
453,656,AS83JM8041,200,pending
454,657,AS88QZ1502,100,ignored
455,658,AS28KI6909,500,pending
456,661,AS49IT2112,500,paid
457,665,AS85SM9789,200,pending
458,666,AS47KW7466,100,pending
459,667,AS33RT9977,500,ignored
460,668,AS60OC9630,500,pending
461,669,AS29YR5139,200,ignored
462,670,AS66PN1032,200,ignored
463,671,AS11CS5626,500,paid
464,672,AS04AT5951,100,pending
465,673,AS60BR7415,200,pending
466,674,AS03KL7726,500,pending
467,675,AS16XZ5673,500,ignored
468,676,AS65IC3953,200,paid
469,679,AS74EI2865,500,pending
470,680,AS60OC9630,500,pending
471,681,AS15QB9439,100,pending
472,682,AS27TE3980,200,paid
473,683,AS21BQ3981,100,pending
474,684,AS15IB4032,100,paid
475,685,AS65HU7352,200,ignored
476,686,AS47WJ6706,500,paid
477,688,AS05UH9255,100,ignored
478,690,AS52PE7404,100,ignored
479,691,AS11SD4817,200,pending
480,692,AS96LZ8419,100,ignored
481,693,AS05NY8940,500,paid
482,694,AS65TU9366,500,ignored
483,695,AS67IO3923,500,ignored
484,698,AS62MS1215,500,ignored
485,699,AS09VY7826,200,ignored
486,701,AS84OG1618,500,ignored
487,702,AS87LK4163,500,paid
488,703,AS29YR5139,100,ignored
489,704,AS73DY4650,500,paid
490,706,AS20TY3444,500,ignored
491,707,AS60BR7415,100,pending
492,708,AS12CO4107,100,pending
493,709,AS07UB8982,200,pending
494,710,AS97HP1760,100,ignored
495,712,AS34AJ7102,500,pending
496,713,AS13UX7383,200,paid
497,716,AS07UB8982,500,pending
498,717,AS27YJ6621,200,pending
499,718,AS33RT9977,200,paid
500,719,AS28CT8091,500,ignored
501,720,AS74EI2865,500,pending
502,721,AS33RT9977,500,pending
503,722,AS86YJ3189,100,pending
504,723,AS85SM9789,200,pending
505,725,AS52PE7404,500,paid
506,726,AS03BB8756,100,pending
507,727,AS27YJ6621,200,paid
508,728,AS22MV2847,500,pending
509,730,AS84OG1618,500,pending
510,732,AS99PT1471,200,pending
511,733,AS52LQ1038,500,ignored
512,735,AS03BB8756,500,ignored
513,736,AS17XR5788,200,paid
514,737,AS71DO8439,200,ignored
515,738,AS70BF6519,100,pending
516,740,AS95XC1278,500,ignored
517,741,AS22TL1510,500,pending
518,742,AS51XY9781,500,pending
519,743,AS52LQ1038,100,ignored
520,744,AS36KQ2607,200,ignored
521,746,AS62MS1215,200,paid
522,747,AS11CS5626,100,pending
523,748,AS84OG1618,200,ignored
524,749,AS95HB4546,100,paid
525,750,AS86VV2403,200,paid
526,752,AS61DA5108,500,paid
527,753,AS93KH1592,500,pending
528,754,AS53TY8674,100,ignored
529,755,AS78ON6701,100,pending
530,757,AS80KD3611,100,paid
531,758,AS92HA2362,200,ignored
532,759,AS33RT9977,500,paid
533,761,AS19GR2926,500,pending
534,762,AS62MS1215,100,paid
535,763,AS26TQ6722,100,ignored
536,764,AS07EX9695,200,paid
537,765,AS46IP7218,100,ignored
538,767,AS26CR3866,200,pending
539,769,AS19GR2926,100,paid
540,770,AS63PP9981,100,paid
541,771,AS39JS8035,500,ignored
542,772,AS71CE7365,200,pending
543,774,AS66PN1032,200,pending
544,776,AS53RY5275,500,pending
545,778,AS63PP9981,200,ignored
546,779,AS96LZ8419,100,pending
547,780,AS26CR3866,200,ignored
548,781,AS10ZE5655,200,paid
549,782,AS44SD9543,500,pending
550,783,AS86YJ3189,500,ignored
551,784,AS67XC1700,200,paid
552,786,AS66PN1032,200,pending
553,787,AS09FT9895,100,ignored
554,788,AS32OQ5324,500,pending
555,789,AS32HE2712,100,paid
556,791,AS15ZU2764,100,pending
557,792,AS29YR5139,100,paid
558,793,AS55QD5437,500,ignored
559,795,AS09MJ5514,500,paid
560,798,AS29YR5139,500,ignored
561,799,AS39QL3589,200,pending
562,800,AS09FT9895,100,pending
563,801,AS47AK7855,500,paid
564,802,AS10NT2332,200,paid
565,803,AS31HY7861,100,ignored
566,805,AS70FR3450,100,paid
567,807,AS04RY2179,500,paid
568,808,AS77WQ3588,200,ignored
569,810,AS57YJ7868,500,ignored
570,811,AS46GC4393,100,pending
571,812,AS03KL7726,500,paid
572,814,AS34AJ7102,100,pending
573,815,AS35IK7095,100,ignored
574,816,AS15QB9439,200,ignored
575,817,AS15QB9439,500,paid
576,819,AS70FR3450,200,pending
577,820,AS71CE7365,200,ignored
578,821,AS29YR5139,100,pending
579,822,AS47MX6308,500,ignored
580,824,AS66PN1032,100,paid
581,826,AS52PE7404,200,ignored
582,827,AS09VY7826,500,ignored
583,829,AS05UH9255,500,pending
584,831,AS11SD4817,500,pending
585,832,AS88JN9068,100,paid
586,835,AS10IK8532,500,pending
587,837,AS26TQ6722,500,paid
588,840,AS87LK4163,500,pending
589,841,AS03KL7726,500,ignored
590,843,AS93XK1234,200,paid
591,844,AS74EI2865,100,paid
592,845,AS31HY7861,200,ignored
593,846,AS85SM9789,100,paid
594,847,AS97HP1760,100,paid
595,848,AS86VV2403,500,pending
596,849,AS97HP1760,200,ignored
597,850,AS30FG2621,100,paid
598,851,AS55JO6770,100,ignored
599,853,AS54AT1052,200,pending
600,854,AS62KU5033,200,paid
601,855,AS29YR5139,200,pending
602,857,AS78ON6701,100,ignored
603,861,AS86AB9450,500,ignored
604,862,AS18QM8509,100,ignored
605,865,AS55GQ9769,500,ignored
606,866,AS67MA3086,100,paid
607,867,AS52LQ1038,100,ignored
608,868,AS67MA3086,200,pending
609,869,AS74EI2865,500,paid
610,871,AS46GC4393,200,pending
611,873,AS46GK7354,200,pending
612,874,AS34AJ7102,500,paid
613,875,AS97HP1760,500,pending
614,877,AS13ZD9161,100,paid
615,878,AS32NR7509,500,ignored
616,879,AS32HE2712,100,ignored
617,880,AS27CO4740,500,ignored
618,881,AS26CR3866,200,pending
619,882,AS09FT9895,500,paid
620,883,AS05NY8940,200,pending
621,884,AS62MS1215,100,ignored
622,886,AS71DO8439,100,ignored
623,887,AS45YM9835,200,paid
624,888,AS89DQ1840,200,pending
625,889,AS53TY8674,200,ignored
626,891,AS47WJ6706,200,paid
627,892,AS03BB8756,100,ignored
628,894,AS70FR3450,100,pending
629,895,AS63SH7730,100,ignored
630,896,AS19QJ9900,500,pending
631,899,AS07EX9695,500,paid
632,900,AS67XC1700,100,ignored
633,902,AS47WJ6706,200,pending
634,903,AS44SD9543,500,paid
635,905,AS36XX6618,500,paid
636,906,AS53RY5275,100,ignored
637,908,AS51BP2227,500,pending
638,909,AS34AU2679,200,paid
639,911,AS39QL3589,200,pending
640,912,AS87LK4163,100,ignored
641,913,AS55GQ9769,500,paid
642,914,AS88MF9238,200,pending
643,915,AS39QL3589,100,pending
644,916,AS96RQ5336,100,ignored
645,920,AS27YJ6621,500,paid
646,921,AS15QB9439,500,ignored
647,922,AS93XK1234,500,paid
648,924,AS27TE3980,200,ignored
649,926,AS94EF3429,500,paid
650,930,AS10IK8532,100,pending
651,932,AS57TS3838,200,ignored
652,936,AS90SJ5556,500,pending
653,937,AS30FG2621,500,ignored
654,938,AS73DY4650,100,pending
655,939,AS98WS8309,100,ignored
656,940,AS85FZ8706,200,ignored
657,941,AS32NR7509,100,pending
658,942,AS88RH7934,200,pending
659,943,AS71EO4773,500,paid
660,944,AS39JS8035,500,pending
661,945,AS78ON6701,200,ignored
662,946,AS69NQ6617,100,ignored
663,947,AS53RY5275,200,ignored
664,948,AS88FL4572,200,paid
665,950,AS74EI2865,200,pending
666,951,AS83SO1397,500,paid
667,952,AS12ZA3975,200,ignored
668,954,AS47KW7466,100,pending
669,955,AS71IA5761,100,paid
670,956,AS04RY2179,100,pending
671,958,AS52PE7404,500,pending
672,959,AS94EF3429,500,ignored
673,960,AS96RQ5336,200,ignored
674,961,AS60OC9630,500,pending
675,962,AS13ZD9161,100,ignored
676,963,AS54AT1052,200,paid
677,965,AS05UG3234,500,pending
678,966,AS85FZ8706,100,ignored
679,967,AS07EX9695,200,paid
680,968,AS11CS5626,500,ignored
681,969,AS93CK8215,500,paid
682,971,AS66ZJ2958,100,pending
683,974,AS73SS9211,500,ignored
684,976,AS83PL5659,100,pending
685,977,AS61DA5108,200,ignored
686,979,AS09VY7826,100,paid
687,980,AS10IK8532,100,paid
688,981,AS46IP7218,100,pending
689,982,AS66ZJ2958,500,ignored
690,983,AS65HU7352,500,pending
691,984,AS53RY5275,100,ignored
692,985,AS79HQ3978,100,ignored
693,987,AS63PP9981,100,ignored
694,989,AS07UB8982,100,ignored
695,992,AS04RY2179,100,paid
696,994,AS77WQ3588,200,ignored
697,997,AS71IA5761,500,paid
698,998,AS87LK4163,500,pending
699,1000,AS29YR5139,100,paid
700,1001,AS72VU8618,200,paid
701,1002,AS46GC4393,200,paid
702,1003,AS20TY3444,100,pending
703,1004,AS27TE3980,200,ignored
704,1005,AS97HP1760,100,paid
705,1006,AS38AS7060,100,ignored
706,1007,AS73SS9211,500,ignored
707,1008,AS05KY1998,200,ignored
708,1009,AS47AK7855,200,ignored
709,1010,AS86VV2403,500,pending
710,1013,AS96RQ5336,200,ignored
711,1014,AS69NQ6617,100,paid
712,1015,AS47WJ6706,100,paid
713,1016,AS60OC9630,500,paid
714,1018,AS20TY3444,200,pending
715,1019,AS80KD3611,200,ignored
716,1020,AS32HE2712,200,ignored
717,1021,AS80KD3611,100,ignored
718,1023,AS10IK8532,100,ignored
719,1024,AS41DN4707,100,pending
720,1026,AS46GC4393,200,pending
721,1027,AS55JO6770,100,pending
722,1028,AS36DE1089,100,ignored
723,1029,AS88RH7934,200,pending
724,1030,AS93CK8215,200,paid
725,1032,AS46IP7218,500,ignored
726,1033,AS96RQ5336,100,ignored
727,1035,AS16XZ5673,500,ignored
728,1038,AS35QU8302,100,ignored
729,1040,AS96LZ8419,100,paid
730,1042,AS14JQ4149,100,pending
731,1044,AS01JT3322,100,pending
732,1046,AS96RQ5336,200,paid
733,1047,AS09FT9895,200,pending
734,1048,AS73SS9211,200,pending
735,1049,AS32NR7509,100,pending
736,1050,AS11CS5626,100,paid
737,1051,AS63PP9981,100,ignored
738,1052,AS69NQ6617,100,ignored
739,1053,AS15IB4032,100,paid
740,1055,AS33RT9977,200,ignored
741,1058,AS71DO8439,100,ignored
742,1059,AS79HQ3978,500,paid
743,1061,AS09VY7826,100,ignored
744,1062,AS44SD9543,200,pending
745,1063,AS44KP1312,100,pending
746,1064,AS15PT3279,500,ignored
747,1065,AS11SD4817,200,pending
748,1068,AS36XX6618,100,paid
749,1069,AS96LZ8419,100,pending
750,1071,AS55GQ9769,200,pending
751,1072,AS62KU5033,200,ignored
752,1073,AS22TL1510,100,paid
753,1074,AS83JM8041,500,paid
754,1075,AS26CR3866,500,pending
755,1076,AS06YI2547,200,pending
756,1077,AS24TJ9407,100,paid
757,1078,AS19GR2926,100,ignored
758,1079,AS27YJ6621,100,ignored
759,1081,AS89DQ1840,100,ignored
760,1082,AS01JT3322,100,paid
761,1083,AS86FO4948,500,paid
762,1086,AS77WQ3588,500,paid
763,1088,AS44SD9543,500,pending
764,1089,AS32HE2712,500,ignored
765,1090,AS86FO4948,100,pending
766,1091,AS60OC9630,100,pending
767,1092,AS64NC8585,100,pending
768,1093,AS47WJ6706,100,paid
769,1094,AS73DY4650,500,paid
770,1095,AS77WQ3588,200,ignored
771,1097,AS96LZ8419,100,paid
772,1098,AS92MO3602,500,paid
773,1099,AS33RT9977,500,ignored
774,1100,AS14JQ4149,200,ignored
775,1101,AS70BF6519,500,ignored
776,1103,AS18QM8509,100,pending
777,1104,AS44SD9543,500,ignored
778,1105,AS44MQ6366,500,paid
779,1106,AS45YM9835,500,paid
780,1107,AS80KD3611,500,paid
781,1108,AS15IB4032,100,pending
782,1109,AS36KY3546,500,paid
783,1110,AS11SD4817,100,pending
784,1112,AS91BY5899,200,paid
785,1113,AS55JO6770,100,pending
786,1115,AS55JO6770,100,pending
787,1116,AS65IC3953,100,pending
788,1117,AS32DR5134,500,paid
789,1120,AS45YM9835,100,paid
790,1124,AS71EO4773,500,paid
791,1126,AS31HY7861,500,ignored
